 	Area	Perim.
1066	12	21.799
1067	4	9.899
1068	4	8.485
1069	12	27.456
1070	12	20.971
1071	4	8.485
1072	5	8.485
1073	4	5.657
1074	14	21.556
1075	18	36.042
1076	10	22.385
1077	4	9.899
1078	1119	423.654
1079	4	9.071
1080	10	19.899
1081	17720	4084.549
1082	15	20.728
1083	29	48.770
1084	4	8.485
1085	83	77.983
1086	42	77.640
1087	5	13.314
1088	9	14.728
1089	12	25.799
1090	45	59.255
1091	4	8.485
1092	5	11.899
1093	4	7.657
1094	9	16.971
1095	15	28.042
1096	19	35.113
1097	13	27.456
1098	1653	328.558
1099	5	12.728
1100	10	18.142
1101	275	141.137
1102	4	8.485
1103	8	16.728
1104	7	16.142
1105	6	12.728
1106	9	20.385
1107	8	13.314
1108	4	8.485
1109	5	13.314
1110	4	7.657
1111	11	20.385
1112	14	28.042
1113	11	18.142
1114	18	22.142
1115	228	99.196
1116	19	37.698
1117	4	11.314
1118	6	12.485
1119	4	5.657
1120	16	35.698
1121	10	18.142
1122	4	10.485
1123	6	10.485
1124	56	69.740
1125	36	60.912
1126	6	10.485
1127	15	25.799
1128	4	8.485
1129	4	7.071
1130	24	47.841
1131	4	10.485
1132	25	43.941
1133	5	13.314
1134	7	15.556
1135	4	10.485
1136	7	12.728
1137	5	11.314
1138	4	9.899
1139	5	11.899
1140	5	10.485
1141	9	18.728
1142	6	12.485
1143	4	8.485
1144	10	18.971
1145	4	10.485
1146	7	13.314
1147	4	10.485
1148	4	10.485
1149	4	9.899
1150	8	10.485
1151	4	8.485
1152	5	11.899
1153	7	14.728
1154	8	11.899
1155	4	10.485
1156	5	7.657
1157	4	9.899
1158	9	16.142
1159	4	9.071
1160	53	82.125
1161	7	14.728
1162	4	7.657
1163	5	14.142
1164	12	17.556
1165	4	8.485
1166	33	49.255
1167	24	40.527
1168	6	12.485
1169	4	11.314
1170	4	7.071
1171	5	11.899
1172	51	54.426
1173	11	21.556
1174	5	10.485
1175	8	18.142
1176	9	18.728
1177	4	11.314
1178	7	13.314
1179	6	9.071
1180	12	25.213
1181	12	18.142
1182	12	24.385
1183	5	12.485
1184	5	14.142
1185	4	7.657
1186	12	20.385
1187	11	27.456
1188	4	8.485
1189	7	13.899
1190	4	9.071
1191	5	11.314
1192	72	100.610
1193	5	9.899
1194	7	12.728
1195	6	11.314
1196	6	12.485
1197	9	14.728
1198	13	28.042
1199	68	83.882
1200	6	12.728
1201	46	71.983
1202	4	11.314
1203	58	94.610
1204	4	7.071
1205	6	14.728
1206	12	26.627
1207	4	7.071
1208	1144	435.311
1209	5	11.899
1210	11	21.799
1211	12	16.971
1212	5	10.485
1213	5	10.485
1214	4	7.657
1215	89	92.368
1216	4	9.899
1217	29	34.870
1218	92	98.853
1219	6	13.314
1220	4	9.657
1221	11	22.385
1222	11	19.556
1223	19	39.113
1224	5	11.899
1225	5	7.657
1226	4	8.485
1227	25	41.941
1228	8	18.971
1229	5	12.728
1230	6	9.071
1231	6061	1538.851
1232	4	11.314
1233	4	7.657
1234	8	17.556
1235	5	9.657
1236	7	19.799
1237	8	11.071
1238	13	24.627
1239	21	32.042
1240	14	27.799
1241	6	12.485
1242	5	11.899
1243	4	11.314
1244	4	8.485
1245	8	18.971
1246	5	13.314
1247	4	11.314
1248	4	11.314
1249	4	8.243
1250	9	15.899
1251	11203	2029.008
1252	5	9.657
1253	4	8.485
1254	4	10.485
1255	5	10.485
1256	16	29.698
1257	5	8.485
1258	4	8.828
1259	4	8.485
1260	5	11.899
1261	11	28.870
1262	8	16.971
1263	248	171.865
1264	4	8.485
1265	7	12.485
1266	6	12.485
1267	4	8.243
1268	9	14.728
1269	4	9.899
1270	7	13.657
1271	11	20.971
1272	6	14.142
1273	6	15.556
1274	4	9.899
1275	6	15.556
1276	12	15.314
1277	4	8.828
1278	26	53.012
1279	4	7.657
1280	5	11.314
1281	1045	338.215
1282	4	7.657
1283	8	16.142
1284	4	9.899
1285	9	20.971
1286	4	9.899
1287	11	26.042
1288	7	11.314
1289	9	21.799
1290	5	12.728
1291	4	7.071
1292	4	11.314
1293	4	10.485
1294	19	26.627
1295	4	9.071
1296	19	32.042
1297	9	12.485
1298	7	13.899
1299	5	11.314
1300	4	8.485
1301	7	15.556
1302	5	8.485
1303	4	7.071
1304	6	8.485
1305	7	11.899
1306	7	13.314
1307	6	10.485
1308	4	11.314
1309	7	14.142
1310	12	24.142
1311	6	11.314
1312	5	9.657
1313	4	8.485
1314	6	14.142
1315	7	11.314
1316	8	16.142
1317	23	25.799
1318	10	19.556
1319	7	12.485
1320	7	9.657
1321	4	5.657
