
Os valores de area e perimetro (em pixels) sao(foram ORDENADOS):


        AREA(pixel2)    PERIMETRO(pixel)
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.314
                   7              13.657
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              13.899
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.142
                   7              14.485
                   7              14.485
                   7              14.485
                   7              14.485
                   7              14.485
                   7              14.485
                   7              14.485
                   7              14.485
                   7              14.485
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   7              14.728
                   8              14.728
                   8              14.728
                   8              14.728
                   8              14.728
                   8              14.728
                   8              14.728
                   8              14.728
                   8              14.728
                   8              14.728
                   8              14.728
                   8              14.728
                   8              14.728
                   8              15.071
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.314
                   8              15.556
                   8              15.556
                   8              15.556
                   8              15.556
                   8              15.556
                   8              15.556
                   8              15.556
                   8              15.556
                   8              15.556
                   8              15.556
                   8              15.657
                   8              15.899
                   8              15.899
                   8              15.899
                   8              15.899
                   8              15.899
                   8              15.899
                   8              15.899
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
